"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 08, 2019","159.80","159.16","161.36","158.11","19.42M","-0.37%"
"Feb 11, 2019","161.29","160.40","162.30","160.18","19.13M","0.93%"
"Feb 12, 2019","163.68","161.50","163.68","160.75","14.99M","1.48%"
"Feb 13, 2019","159.27","164.00","164.28","159.27","22.01M","-2.69%"
"Feb 14, 2019","155.15","157.35","158.74","155.15","38.38M","-2.59%"
"Feb 15, 2019","159.04","155.99","159.04","155.89","24.57M","2.51%"
"Feb 18, 2019","156.43","159.25","159.90","156.14","17.78M","-1.64%"
"Feb 19, 2019","154.03","156.41","157.14","153.36","20.05M","-1.53%"
"Feb 20, 2019","154.43","154.65","155.66","153.67","21.15M","0.26%"
"Feb 21, 2019","153.50","154.84","155.41","153.01","15.22M","-0.60%"
"Feb 22, 2019","154.64","153.51","155.65","153.49","13.20M","0.74%"
"Feb 25, 2019","154.60","155.01","155.37","153.56","14.81M","-0.03%"
"Feb 26, 2019","155.36","153.95","155.36","152.82","18.30M","0.49%"
"Feb 27, 2019","156.40","155.70","157.15","154.82","19.72M","0.67%"
"Feb 28, 2019","158.99","156.22","159.25","156.02","34.68M","1.66%"
"Mar 01, 2019","156.71","158.92","159.55","156.31","21.89M","-1.43%"
"Mar 04, 2019","154.40","156.75","156.76","154.40","17.20M","-1.47%"
"Mar 05, 2019","153.20","154.05","154.65","153.11","20.13M","-0.78%"
"Mar 06, 2019","154.20","153.31","154.45","153.07","17.14M","0.65%"
"Mar 07, 2019","151.90","154.01","154.19","151.58","19.67M","-1.49%"
"Mar 11, 2019","151.60","151.90","152.47","150.51","19.52M","-0.20%"
"Mar 12, 2019","151.64","152.24","152.95","150.84","15.49M","0.03%"
"Mar 13, 2019","153.30","151.10","153.30","150.66","18.55M","1.09%"
"Mar 14, 2019","152.68","153.39","154.40","152.53","19.96M","-0.40%"
"Mar 15, 2019","154.56","152.98","154.56","152.11","33.33M","1.23%"
"Mar 18, 2019","155.84","154.20","156.48","153.60","22.07M","0.83%"
"Mar 19, 2019","155.50","155.84","156.45","154.60","17.54M","-0.22%"
"Mar 20, 2019","156.09","155.51","156.14","154.00","20.10M","0.38%"
"Mar 21, 2019","155.33","156.40","156.70","154.52","28.16M","-0.49%"
"Mar 22, 2019","152.29","155.02","155.02","151.85","23.21M","-1.96%"
"Mar 25, 2019","152.29","151.21","152.29","150.72","22.54M","0.00%"
"Mar 26, 2019","151.12","151.99","152.91","150.83","21.64M","-0.77%"
"Mar 27, 2019","149.49","150.88","151.44","149.03","23.94M","-1.08%"
"Mar 28, 2019","149.98","149.79","150.75","148.83","16.39M","0.33%"
"Mar 29, 2019","149.61","150.17","151.64","149.13","26.45M","-0.25%"
"Apr 01, 2019","154.53","150.28","154.81","149.92","37.03M","3.29%"
"Apr 02, 2019","155.00","154.85","155.80","153.30","30.99M","0.30%"
"Apr 03, 2019","156.99","155.30","157.58","155.30","33.85M","1.28%"
"Apr 04, 2019","158.89","156.75","158.89","156.40","23.00M","1.21%"
"Apr 05, 2019","158.60","158.33","159.50","157.87","22.89M","-0.18%"
"Apr 08, 2019","160.50","158.81","160.88","158.81","25.83M","1.20%"
"Apr 09, 2019","162.70","160.41","163.35","159.80","40.15M","1.37%"
"Apr 10, 2019","162.88","162.40","164.95","162.12","38.96M","0.11%"
"Apr 11, 2019","158.04","162.38","162.95","158.04","44.98M","-2.97%"
"Apr 12, 2019","159.12","158.51","160.46","157.90","29.34M","0.68%"
"Apr 15, 2019","158.33","160.00","160.60","157.62","18.39M","-0.50%"
"Apr 16, 2019","162.24","158.99","163.42","158.21","27.28M","2.47%"
"Apr 17, 2019","164.00","163.40","165.40","162.40","28.49M","1.08%"
"Apr 18, 2019","161.79","163.75","163.79","160.85","19.65M","-1.35%"
"Apr 19, 2019","162.57","161.95","162.57","161.50","3.85M","0.48%"
"Apr 22, 2019","163.50","163.21","164.34","162.76","8.95M","0.57%"
"Apr 23, 2019","162.42","163.50","163.85","160.91","15.16M","-0.66%"
"Apr 24, 2019","160.57","162.91","163.07","159.18","25.76M","-1.14%"
"Apr 25, 2019","159.31","160.25","160.95","158.80","21.71M","-0.78%"
"Apr 26, 2019","161.00","159.03","161.00","158.58","17.63M","1.06%"
"Apr 29, 2019","163.93","161.20","164.74","160.68","31.20M","1.82%"
"Apr 30, 2019","163.95","164.10","165.40","163.01","31.33M","0.01%"
"May 02, 2019","165.71","163.67","166.85","163.67","20.69M","1.07%"
"May 03, 2019","166.31","166.20","166.98","165.83","13.23M","0.36%"
"May 06, 2019","165.45","165.00","165.45","163.34","15.57M","-0.52%"
"May 07, 2019","164.21","165.00","166.27","164.21","19.35M","-0.75%"
"May 08, 2019","163.57","164.50","165.44","163.55","17.90M","-0.39%"
"May 10, 2019","163.61","163.60","164.90","162.62","16.16M","0.02%"
"May 13, 2019","163.00","163.48","164.34","163.00","16.95M","-0.37%"
"May 14, 2019","189.67","163.00","190.90","162.65","182.19M","16.36%"
"May 15, 2019","195.61","193.00","198.40","192.29","135.54M","3.13%"
"May 16, 2019","202.70","194.31","203.45","194.24","100.06M","3.62%"
"May 17, 2019","198.89","201.80","202.30","197.71","49.62M","-1.88%"
"May 20, 2019","200.80","200.20","201.48","198.30","27.30M","0.96%"
"May 21, 2019","207.80","201.30","210.98","199.01","90.77M","3.49%"
"May 22, 2019","208.10","208.92","210.11","206.33","35.10M","0.14%"
"May 23, 2019","208.86","207.00","212.18","205.84","54.53M","0.37%"
"May 24, 2019","204.50","209.49","210.20","203.76","29.04M","-2.09%"
"May 27, 2019","206.20","204.25","206.60","200.84","28.13M","0.83%"
"May 28, 2019","203.13","206.00","206.00","201.00","61.17M","-1.49%"
"May 29, 2019","207.14","202.11","207.69","201.11","42.94M","1.97%"
"May 30, 2019","213.10","207.90","216.45","207.57","77.21M","2.88%"
"May 31, 2019","215.10","212.00","215.27","210.05","43.76M","0.94%"
"Jun 03, 2019","235.51","214.41","251.65","213.50","218.66M","9.49%"
"Jun 04, 2019","230.16","233.50","235.59","223.52","109.61M","-2.27%"
"Jun 05, 2019","230.01","230.24","233.30","228.04","40.24M","-0.07%"
"Jun 06, 2019","231.45","230.00","236.62","228.71","55.26M","0.63%"
"Jun 07, 2019","230.50","233.77","233.77","230.00","42.25M","-0.41%"
"Jun 10, 2019","232.10","230.85","234.30","230.40","30.62M","0.69%"
"Jun 11, 2019","234.86","232.32","237.63","231.13","44.89M","1.19%"
"Jun 13, 2019","234.44","233.74","237.35","233.01","35.41M","-0.18%"
"Jun 14, 2019","231.51","234.13","235.44","231.26","25.41M","-1.25%"
"Jun 17, 2019","229.81","231.58","234.44","229.63","32.36M","-0.73%"
"Jun 18, 2019","232.13","229.67","232.30","228.30","32.23M","1.01%"
"Jun 19, 2019","232.46","232.50","235.42","232.00","31.84M","0.14%"
"Jun 20, 2019","232.52","234.00","234.45","231.45","44.89M","0.03%"
"Jun 21, 2019","229.09","232.52","232.52","228.85","47.10M","-1.48%"
"Jun 24, 2019","232.38","229.54","233.04","229.47","22.08M","1.44%"
"Jun 25, 2019","232.09","232.01","232.19","229.64","21.54M","-0.12%"
"Jun 26, 2019","233.10","232.51","233.60","232.00","19.24M","0.44%"
"Jun 27, 2019","232.60","233.00","234.93","232.60","22.24M","-0.21%"
"Jun 28, 2019","232.83","233.20","235.47","232.35","42.49M","0.10%"
