"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 16, 2020","196.59","196.00","199.59","195.20","43.44M","1.23%"
"Jun 17, 2020","195.86","197.98","199.08","195.21","34.50M","-0.37%"
"Jun 18, 2020","193.00","195.45","195.57","191.85","45.81M","-1.46%"
"Jun 19, 2020","195.81","194.17","196.07","193.82","45.22M","1.46%"
"Jun 22, 2020","194.30","195.35","195.35","192.62","36.80M","-0.77%"
"Jun 23, 2020","194.83","194.80","196.32","194.00","33.83M","0.27%"
"Jun 25, 2020","192.25","191.72","192.48","190.55","49.04M","-1.32%"
"Jun 26, 2020","193.00","192.83","195.69","190.51","60.45M","0.39%"
"Jun 29, 2020","197.94","192.64","198.10","192.58","45.84M","2.56%"
"Jun 30, 2020","194.31","197.90","198.48","193.24","52.32M","-1.83%"
"Jul 02, 2020","195.28","195.39","195.84","194.40","34.18M","0.50%"
"Jul 03, 2020","197.20","195.64","197.48","194.77","26.44M","0.98%"
"Jul 06, 2020","199.99","199.21","201.75","198.53","46.53M","1.41%"
"Jul 07, 2020","197.96","199.70","199.94","197.75","35.19M","-1.02%"
"Jul 08, 2020","201.17","197.98","201.19","197.55","30.74M","1.62%"
"Jul 09, 2020","199.44","201.48","202.00","198.40","40.53M","-0.86%"
"Jul 10, 2020","200.94","198.22","201.70","197.22","39.06M","0.75%"
"Jul 13, 2020","195.70","201.60","202.33","195.50","63.04M","-2.61%"
"Jul 14, 2020","193.60","195.02","196.65","192.48","83.20M","-1.07%"
"Jul 15, 2020","182.26","180.60","184.27","179.80","73.99M","-5.86%"
"Jul 16, 2020","183.32","181.06","183.80","181.06","29.45M","0.58%"
"Jul 17, 2020","184.65","183.80","184.93","182.87","25.49M","0.73%"
"Jul 20, 2020","188.36","184.68","188.41","183.88","30.03M","2.01%"
"Jul 21, 2020","186.78","189.00","189.77","186.25","44.43M","-0.84%"
"Jul 22, 2020","187.15","187.03","188.59","186.07","22.77M","0.20%"
"Jul 23, 2020","184.69","187.50","188.30","184.40","29.81M","-1.31%"
"Jul 24, 2020","185.45","184.86","186.45","184.12","30.44M","0.41%"
"Jul 27, 2020","185.03","185.52","185.92","184.20","22.79M","-0.23%"
"Jul 28, 2020","184.30","185.10","185.46","183.60","26.64M","-0.39%"
"Jul 29, 2020","184.69","184.50","185.35","183.42","27.91M","0.21%"
"Jul 30, 2020","182.52","184.44","184.73","180.91","34.05M","-1.17%"
"Jul 31, 2020","182.59","182.60","184.84","181.61","44.97M","0.04%"
"Aug 03, 2020","183.60","182.50","184.03","181.72","28.66M","0.55%"
"Aug 04, 2020","183.31","184.05","184.68","182.17","32.45M","-0.16%"
"Aug 05, 2020","189.15","183.58","189.98","183.35","75.45M","3.19%"
"Aug 06, 2020","189.07","189.58","189.92","187.13","42.87M","-0.04%"
"Aug 07, 2020","187.23","188.45","188.57","185.81","28.84M","-0.97%"
"Aug 10, 2020","187.70","187.49","188.85","186.83","24.24M","0.25%"
"Aug 11, 2020","189.70","187.88","192.40","187.88","51.93M","1.07%"
"Aug 12, 2020","192.80","190.50","193.29","189.32","35.62M","1.63%"
"Aug 13, 2020","193.76","192.51","194.44","191.25","37.89M","0.50%"
"Aug 14, 2020","192.83","194.27","194.27","190.71","29.79M","-0.48%"
"Aug 17, 2020","190.47","193.83","194.68","189.20","55.76M","-1.22%"
"Aug 18, 2020","190.30","190.07","191.95","189.25","27.79M","-0.09%"
"Aug 19, 2020","189.26","190.48","191.99","189.00","31.49M","-0.55%"
"Aug 20, 2020","186.95","188.78","188.94","185.58","37.70M","-1.22%"
"Aug 21, 2020","184.51","187.25","187.79","183.50","33.85M","-1.31%"
"Aug 24, 2020","187.10","185.40","187.44","184.84","24.30M","1.40%"
"Aug 25, 2020","186.25","187.45","187.99","184.73","19.56M","-0.45%"
"Aug 26, 2020","187.48","186.22","188.00","185.00","25.46M","0.66%"
"Aug 27, 2020","184.58","187.50","188.01","182.62","38.19M","-1.55%"
"Aug 28, 2020","182.90","184.95","185.22","182.48","34.31M","-0.91%"
"Aug 31, 2020","181.01","183.11","184.28","180.51","47.47M","-1.03%"
"Sep 01, 2020","184.22","181.40","184.87","181.01","48.04M","1.77%"
"Sep 02, 2020","181.95","184.80","186.29","181.10","50.33M","-1.23%"
"Sep 03, 2020","179.13","182.48","182.59","178.60","62.96M","-1.55%"
"Sep 04, 2020","179.55","178.98","180.56","178.00","43.04M","0.23%"
"Sep 07, 2020","177.04","178.63","179.75","175.94","39.00M","-1.40%"
"Sep 08, 2020","172.95","176.99","177.43","172.40","63.85M","-2.31%"
"Sep 09, 2020","173.69","172.72","175.35","172.33","41.98M","0.43%"
"Sep 10, 2020","173.80","173.90","174.64","171.11","34.02M","0.06%"
"Sep 11, 2020","178.05","174.43","178.27","173.10","36.95M","2.45%"
"Sep 14, 2020","178.19","178.44","180.80","177.52","37.72M","0.08%"
"Sep 15, 2020","182.22","178.03","182.95","178.01","42.49M","2.26%"
"Sep 16, 2020","183.26","182.67","184.16","181.35","37.43M","0.57%"
"Sep 17, 2020","183.90","181.80","184.84","180.34","49.88M","0.35%"
"Sep 18, 2020","181.52","184.40","184.70","181.34","45.24M","-1.29%"
"Sep 21, 2020","177.17","181.37","181.37","175.36","41.36M","-2.40%"
"Sep 22, 2020","179.00","176.51","180.90","176.42","36.41M","1.03%"
"Sep 23, 2020","177.00","179.82","180.37","176.81","31.92M","-1.12%"
"Sep 24, 2020","174.23","176.00","178.49","171.90","49.89M","-1.56%"
"Sep 25, 2020","173.77","175.10","175.17","169.60","96.33M","-0.26%"
"Sep 28, 2020","172.74","174.20","175.38","171.29","50.55M","-0.59%"
"Sep 29, 2020","171.44","172.75","173.47","170.00","48.79M","-0.75%"
"Sep 30, 2020","169.97","171.04","171.98","169.80","48.63M","-0.86%"
"Oct 01, 2020","168.40","171.16","171.40","167.97","60.36M","-0.92%"
"Oct 02, 2020","169.47","167.38","169.95","167.22","40.35M","0.64%"
"Oct 05, 2020","170.64","170.11","170.88","168.58","37.44M","0.69%"
"Oct 06, 2020","171.35","170.70","173.41","170.50","64.13M","0.42%"
"Oct 07, 2020","168.23","171.75","172.26","167.04","65.84M","-1.82%"
"Oct 08, 2020","167.43","168.19","168.86","166.15","36.67M","-0.48%"
"Oct 09, 2020","166.97","167.80","168.19","165.77","41.54M","-0.27%"
"Oct 12, 2020","169.05","167.50","169.80","166.87","38.97M","1.25%"
"Oct 13, 2020","166.37","169.13","169.47","165.82","34.70M","-1.59%"
"Oct 14, 2020","167.24","166.68","167.63","165.71","26.69M","0.52%"
"Oct 15, 2020","167.16","166.87","168.85","166.00","39.90M","-0.05%"
"Oct 16, 2020","163.98","167.24","167.25","163.56","50.42M","-1.90%"
"Oct 19, 2020","163.60","165.00","165.60","163.00","34.06M","-0.23%"
"Oct 20, 2020","166.53","163.74","167.12","162.80","50.48M","1.79%"
"Oct 21, 2020","164.37","166.80","167.30","163.87","36.69M","-1.30%"
"Oct 22, 2020","165.27","163.87","166.53","163.66","39.97M","0.55%"
"Oct 23, 2020","164.96","165.15","165.88","164.39","32.93M","-0.19%"
"Oct 26, 2020","162.17","164.44","164.96","161.10","53.50M","-1.69%"
"Oct 27, 2020","159.21","162.11","162.62","158.21","58.29M","-1.83%"
"Oct 28, 2020","154.30","158.98","158.99","153.70","86.90M","-3.08%"
"Oct 29, 2020","156.74","155.01","157.30","154.20","52.78M","1.58%"
"Oct 30, 2020","154.28","155.00","156.20","154.08","42.72M","-1.57%"
"Nov 02, 2020","157.74","153.98","157.98","151.90","69.73M","2.24%"
"Nov 03, 2020","161.09","158.21","161.92","157.44","71.12M","2.12%"
"Nov 05, 2020","163.70","163.80","165.25","161.99","73.28M","1.62%"
"Nov 06, 2020","164.92","163.00","165.84","161.52","51.68M","0.75%"
"Nov 09, 2020","170.13","166.72","171.50","164.90","103.45M","3.16%"
"Nov 10, 2020","172.92","169.03","173.64","167.63","76.69M","1.64%"
"Nov 11, 2020","170.53","173.50","175.15","170.26","72.04M","-1.38%"
"Nov 12, 2020","172.91","170.00","175.30","169.75","72.00M","1.40%"
"Nov 13, 2020","180.30","172.90","181.27","172.42","104.62M","4.27%"
"Nov 16, 2020","185.32","181.01","185.62","180.30","89.65M","2.78%"
"Nov 17, 2020","182.90","185.05","185.31","178.83","99.35M","-1.31%"
"Nov 18, 2020","185.00","182.20","187.69","180.80","69.13M","1.15%"
"Nov 19, 2020","184.16","185.20","185.88","181.92","53.23M","-0.45%"
"Nov 20, 2020","183.21","184.10","184.36","182.10","31.88M","-0.52%"
"Nov 23, 2020","184.15","183.62","185.63","182.77","41.08M","0.51%"
"Nov 24, 2020","186.76","185.09","187.30","183.97","60.74M","1.42%"
"Nov 25, 2020","188.03","187.00","188.76","185.85","51.15M","0.68%"
"Nov 26, 2020","185.52","188.24","189.10","184.60","45.76M","-1.33%"
"Nov 27, 2020","185.90","185.04","186.75","182.56","50.01M","0.20%"
"Nov 30, 2020","181.89","185.13","185.14","180.04","73.30M","-2.16%"
"Dec 01, 2020","185.34","182.60","188.09","181.78","67.29M","1.90%"
"Dec 02, 2020","187.22","185.00","187.24","183.12","40.25M","1.01%"
"Dec 03, 2020","185.12","186.99","187.58","184.37","35.90M","-1.12%"
"Dec 04, 2020","188.79","186.21","189.42","185.85","50.72M","1.98%"
"Dec 07, 2020","190.76","188.22","192.85","187.80","53.54M","1.04%"
"Dec 08, 2020","190.00","190.35","191.45","187.80","48.45M","-0.40%"
"Dec 09, 2020","189.35","190.30","193.09","189.05","52.70M","-0.34%"
"Dec 10, 2020","192.95","189.55","193.51","188.67","54.37M","1.90%"
"Dec 11, 2020","201.50","193.01","201.63","192.31","103.07M","4.43%"
"Dec 14, 2020","199.91","203.50","207.85","198.78","123.35M","-0.79%"
"Dec 15, 2020","201.00","199.01","202.29","197.05","65.57M","0.55%"
"Dec 16, 2020","206.20","201.00","206.20","199.54","75.25M","2.59%"
"Dec 17, 2020","214.52","206.69","215.38","206.51","159.63M","4.03%"
"Dec 18, 2020","212.69","214.00","214.50","207.22","133.80M","-0.85%"
"Dec 21, 2020","203.46","209.97","209.99","200.80","123.67M","-4.34%"
"Dec 22, 2020","208.40","200.70","210.68","199.19","109.99M","2.43%"
"Dec 23, 2020","207.63","209.00","212.78","206.20","78.92M","-0.37%"
"Dec 24, 2020","206.24","208.52","209.96","203.15","59.17M","-0.67%"
"Dec 25, 2020","205.03","206.20","206.73","204.01","16.53M","-0.59%"
"Dec 28, 2020","206.11","205.53","207.86","205.15","35.06M","0.53%"
"Dec 29, 2020","208.75","206.98","210.00","206.61","42.37M","1.28%"
"Dec 30, 2020","212.98","209.88","213.38","209.50","74.74M","2.03%"
"Jan 04, 2021","212.71","212.71","216.63","211.64","55.46M","-0.13%"
"Jan 05, 2021","215.32","213.20","215.38","210.22","48.94M","1.23%"
"Jan 06, 2021","214.38","215.50","216.80","213.07","47.95M","-0.44%"
"Jan 08, 2021","225.49","217.12","226.24","217.00","101.04M","5.18%"
"Jan 11, 2021","227.60","225.17","231.00","221.81","112.71M","0.94%"
"Jan 12, 2021","228.69","229.00","231.44","225.66","64.40M","0.48%"
"Jan 13, 2021","226.80","229.29","230.35","225.20","61.14M","-0.83%"
"Jan 14, 2021","228.86","226.15","229.57","223.20","60.22M","0.91%"
"Jan 15, 2021","226.50","227.50","230.70","226.00","54.81M","-1.03%"
"Jan 18, 2021","226.88","225.55","228.50","221.34","69.18M","0.17%"
"Jan 19, 2021","223.15","227.65","228.85","223.00","66.68M","-1.64%"
"Jan 20, 2021","224.30","223.00","225.78","221.55","51.39M","0.52%"
"Jan 21, 2021","217.28","224.38","224.96","217.22","76.73M","-3.13%"
"Jan 22, 2021","215.49","216.50","216.50","210.50","94.81M","-0.82%"
"Jan 25, 2021","218.68","216.90","219.66","214.53","74.57M","1.48%"
"Jan 26, 2021","218.80","216.52","220.29","215.71","45.21M","0.05%"
"Jan 27, 2021","217.40","219.49","222.00","216.44","59.30M","-0.64%"
"Jan 28, 2021","217.70","215.99","219.49","214.26","52.43M","0.14%"
"Jan 29, 2021","212.83","216.70","216.75","212.47","66.78M","-2.24%"
"Feb 01, 2021","214.66","214.70","214.87","212.24","39.37M","0.86%"
"Feb 02, 2021","214.42","215.60","219.74","213.25","78.07M","-0.11%"
"Feb 03, 2021","218.10","215.42","218.42","213.79","46.03M","1.72%"
"Feb 04, 2021","219.79","218.70","221.40","216.88","47.94M","0.77%"
"Feb 05, 2021","222.01","220.68","222.21","219.00","42.22M","1.01%"
"Feb 08, 2021","228.00","223.04","228.00","223.00","67.21M","2.70%"
"Feb 09, 2021","227.73","229.00","229.49","225.80","60.64M","-0.12%"
"Feb 10, 2021","223.24","227.98","228.29","221.80","41.90M","-1.97%"
"Feb 11, 2021","221.35","223.49","223.67","220.73","34.55M","-0.85%"
"Feb 12, 2021","226.71","220.60","227.47","216.77","69.25M","2.42%"
"Feb 15, 2021","229.22","228.49","230.00","226.70","59.95M","1.11%"
"Feb 16, 2021","232.46","230.00","233.22","227.57","86.02M","1.41%"
"Feb 17, 2021","229.14","232.32","233.35","225.33","64.55M","-1.43%"
"Feb 18, 2021","224.47","229.00","229.00","224.01","43.79M","-2.04%"
"Feb 19, 2021","226.00","224.01","226.26","221.10","44.90M","0.68%"
"Feb 20, 2021","225.84","226.40","227.10","225.00","6.06M","-0.07%"
"Feb 22, 2021","225.63","226.46","227.30","223.04","31.46M","-0.09%"
"Feb 24, 2021","222.55","224.42","225.64","220.85","40.87M","-1.37%"
"Feb 25, 2021","221.70","223.47","225.50","221.22","42.75M","-0.38%"
"Feb 26, 2021","217.56","220.56","221.68","217.20","63.84M","-1.87%"
"Mar 01, 2021","221.47","219.33","222.01","218.25","28.41M","1.80%"
"Mar 02, 2021","222.74","220.00","224.11","219.76","34.20M","0.57%"
"Mar 03, 2021","222.15","224.20","226.79","221.70","33.27M","-0.26%"
"Mar 04, 2021","221.14","221.90","226.69","219.50","46.45M","-0.45%"
"Mar 05, 2021","227.00","222.01","228.42","220.02","55.80M","2.65%"
"Mar 09, 2021","232.10","227.50","233.07","226.05","73.81M","2.25%"
"Mar 10, 2021","231.69","231.87","235.50","230.66","55.39M","-0.18%"
"Mar 11, 2021","232.47","232.89","233.53","230.07","32.16M","0.34%"
"Mar 12, 2021","233.80","232.00","234.39","230.60","28.84M","0.57%"
"Mar 15, 2021","237.79","234.98","238.09","234.46","46.19M","1.71%"
"Mar 16, 2021","234.02","237.30","238.23","233.80","38.09M","-1.59%"
"Mar 17, 2021","229.90","233.85","234.56","227.21","62.11M","-1.76%"
"Mar 18, 2021","224.35","230.00","231.79","223.70","67.61M","-2.41%"
"Mar 19, 2021","225.40","222.75","226.64","222.37","58.81M","0.47%"
"Mar 22, 2021","221.88","225.14","225.34","220.79","58.50M","-1.56%"
"Mar 23, 2021","221.62","221.20","224.44","219.81","43.13M","-0.12%"
"Mar 24, 2021","223.65","222.35","225.45","220.53","36.72M","0.92%"
"Mar 25, 2021","224.84","224.20","225.38","222.70","29.77M","0.53%"
"Mar 26, 2021","227.30","225.70","227.60","225.13","26.77M","1.09%"
"Mar 29, 2021","228.74","226.79","229.15","226.31","23.77M","0.63%"
"Mar 30, 2021","225.93","228.95","230.10","225.04","26.82M","-1.23%"
"Mar 31, 2021","227.24","226.40","228.40","223.32","38.85M","0.58%"
"Apr 01, 2021","226.94","228.40","231.67","225.75","43.83M","-0.13%"
"Apr 02, 2021","228.40","227.00","229.20","226.54","12.64M","0.64%"
"Apr 05, 2021","225.06","227.92","227.92","224.13","23.96M","-1.46%"
"Apr 06, 2021","222.95","226.00","226.55","221.91","36.30M","-0.94%"
"Apr 07, 2021","224.51","222.31","226.01","220.68","29.51M","0.70%"
"Apr 08, 2021","224.30","224.84","226.30","222.88","19.42M","-0.09%"
"Apr 09, 2021","222.15","224.20","224.30","221.48","20.92M","-0.96%"
"Apr 12, 2021","222.87","220.98","224.25","219.60","29.32M","0.32%"
"Apr 13, 2021","227.99","223.00","228.33","221.10","39.10M","2.30%"
"Apr 14, 2021","235.32","230.58","236.58","229.31","92.45M","3.22%"
"Apr 15, 2021","234.63","230.10","236.39","228.23","63.09M","-0.29%"
"Apr 16, 2021","235.10","235.49","237.45","232.70","46.27M","0.20%"
"Apr 19, 2021","231.17","234.50","234.90","230.28","39.74M","-1.67%"
"Apr 20, 2021","230.00","231.56","233.17","229.00","43.94M","-0.51%"
"Apr 21, 2021","230.84","230.00","231.80","228.37","35.50M","0.37%"
"Apr 22, 2021","230.93","230.68","232.15","227.14","60.35M","0.04%"
"Apr 23, 2021","232.62","231.29","233.30","230.00","35.45M","0.73%"
"Apr 26, 2021","233.23","233.00","234.91","232.16","28.72M","0.26%"
"Apr 27, 2021","232.00","233.41","235.14","231.21","29.29M","-0.53%"
"Apr 28, 2021","232.96","232.55","233.24","230.20","37.52M","0.41%"
"Apr 29, 2021","230.51","234.07","236.18","229.00","55.65M","-1.05%"
"Apr 30, 2021","231.38","230.11","231.60","228.86","32.11M","0.38%"
"May 04, 2021","233.80","232.20","234.30","230.96","37.97M","1.05%"
"May 05, 2021","237.50","234.21","237.77","233.69","38.15M","1.58%"
"May 06, 2021","243.00","237.90","243.32","237.75","50.39M","2.32%"
"May 07, 2021","241.70","243.49","243.99","240.78","37.20M","-0.53%"
"May 10, 2021","241.41","242.35","244.30","240.52","32.42M","-0.12%"
"May 11, 2021","242.50","240.24","243.17","239.05","35.85M","0.45%"
"May 12, 2021","241.79","242.01","244.42","241.56","33.30M","-0.29%"
"May 13, 2021","247.16","242.30","247.29","242.05","64.22M","2.22%"
"May 14, 2021","249.55","248.00","250.40","247.53","50.36M","0.97%"
"May 17, 2021","255.15","250.00","255.25","249.45","41.13M","2.24%"
"May 18, 2021","266.22","256.10","268.38","254.54","86.43M","4.34%"
"May 19, 2021","260.90","263.90","264.50","256.00","93.58M","-2.00%"
"May 20, 2021","259.16","260.80","262.78","256.90","46.56M","-0.67%"
"May 21, 2021","258.00","260.04","260.70","257.12","29.12M","-0.45%"
"May 24, 2021","261.24","258.58","261.47","257.12","24.68M","1.26%"
"May 25, 2021","259.79","262.31","262.72","258.31","30.71M","-0.56%"
"May 26, 2021","263.09","260.52","263.33","260.01","34.68M","1.27%"
"May 27, 2021","262.96","261.98","263.75","261.22","57.62M","-0.05%"
"May 28, 2021","262.00","263.79","265.93","261.35","35.30M","-0.37%"
"May 31, 2021","261.03","261.00","261.60","259.30","21.50M","-0.37%"
"Jun 01, 2021","263.86","261.97","264.76","261.58","32.76M","1.08%"
"Jun 02, 2021","271.15","264.05","271.36","263.55","53.36M","2.76%"
"Jun 03, 2021","272.10","272.31","274.30","268.20","52.91M","0.35%"
"Jun 04, 2021","274.30","271.99","276.22","269.58","54.41M","0.81%"
"Jun 07, 2021","275.67","274.01","276.70","273.85","34.32M","0.50%"
"Jun 08, 2021","275.36","275.35","277.58","272.91","53.12M","-0.11%"
"Jun 09, 2021","275.65","275.98","276.39","273.76","28.27M","0.11%"
"Jun 10, 2021","276.10","275.49","277.77","274.32","37.26M","0.16%"
"Jun 11, 2021","277.05","276.58","278.00","274.85","26.62M","0.34%"
"Jun 14, 2021","279.50","277.56","280.45","277.22","28.19M","0.88%"
"Jun 15, 2021","272.72","279.92","280.14","272.63","52.23M","-2.43%"
"Jun 16, 2021","271.80","272.90","275.23","270.12","67.26M","-0.34%"
"Jun 17, 2021","272.50","270.90","273.89","269.10","43.67M","0.26%"
"Jun 18, 2021","270.06","271.54","273.18","268.65","52.73M","-0.90%"
"Jun 21, 2021","272.62","269.78","272.86","268.09","27.45M","0.95%"
"Jun 22, 2021","277.00","273.50","277.00","272.89","36.98M","1.61%"
"Jun 23, 2021","277.35","277.89","279.56","276.67","33.62M","0.13%"
"Jun 24, 2021","277.47","278.20","279.47","275.50","42.59M","0.04%"
"Jun 25, 2021","277.19","277.80","277.92","276.12","29.72M","-0.10%"
"Jun 28, 2021","276.99","277.22","279.61","276.43","28.10M","-0.07%"
"Jun 29, 2021","276.80","276.12","277.50","273.17","37.63M","-0.07%"
"Jun 30, 2021","281.80","277.27","281.82","276.50","60.40M","1.81%"
"Jul 01, 2021","285.74","281.85","286.25","281.85","50.12M","1.40%"
"Jul 02, 2021","285.65","285.59","286.19","282.80","29.34M","-0.03%"
"Jul 05, 2021","291.10","286.00","291.49","285.78","34.24M","1.91%"
"Jul 06, 2021","293.45","292.08","295.97","291.34","80.38M","0.81%"
"Jul 07, 2021","297.39","293.89","297.48","293.47","67.08M","1.34%"
"Jul 08, 2021","292.86","296.45","297.00","290.33","52.74M","-1.52%"
"Jul 09, 2021","295.22","293.50","295.58","292.00","40.99M","0.81%"
"Jul 12, 2021","297.39","295.51","298.48","294.90","43.36M","0.74%"
"Jul 13, 2021","293.83","297.75","297.77","293.00","49.32M","-1.20%"
"Jul 14, 2021","284.60","282.89","286.93","282.88","52.95M","-3.14%"
"Jul 15, 2021","280.01","284.58","285.11","278.96","41.73M","-1.61%"
"Jul 16, 2021","279.65","279.22","282.00","278.00","27.99M","-0.13%"
"Jul 19, 2021","275.51","277.11","279.51","273.15","42.83M","-1.48%"
"Jul 20, 2021","277.30","276.78","278.68","273.10","31.05M","0.65%"
"Jul 21, 2021","282.90","277.50","285.01","276.00","41.10M","2.02%"
"Jul 22, 2021","283.28","283.50","285.09","281.21","40.29M","0.13%"
"Jul 23, 2021","279.51","283.20","285.00","279.05","38.27M","-1.33%"
"Jul 26, 2021","281.05","277.37","281.37","276.70","27.44M","0.55%"
"Jul 27, 2021","278.08","280.18","280.83","276.84","28.47M","-1.06%"
"Jul 28, 2021","282.20","277.88","282.98","277.70","32.86M","1.48%"
"Jul 29, 2021","287.00","283.97","287.75","283.58","41.35M","1.70%"
"Jul 30, 2021","287.35","285.02","287.58","283.28","46.77M","0.12%"
"Aug 02, 2021","286.75","287.88","289.48","285.21","38.39M","-0.21%"
"Aug 03, 2021","287.09","286.75","288.05","284.34","27.07M","0.12%"
"Aug 04, 2021","287.94","287.88","288.80","286.00","23.63M","0.30%"
"Aug 05, 2021","285.95","287.33","288.28","285.16","47.27M","-0.69%"
"Aug 06, 2021","282.27","285.26","285.72","277.87","90.79M","-1.29%"
"Aug 09, 2021","286.68","282.25","287.90","280.80","68.96M","1.56%"
"Aug 10, 2021","288.61","288.00","288.80","285.70","28.93M","0.67%"
"Aug 11, 2021","290.35","288.97","291.49","287.12","37.96M","0.60%"
"Aug 12, 2021","293.23","290.30","293.81","290.25","37.65M","0.99%"
"Aug 13, 2021","292.70","292.70","293.90","291.75","21.92M","-0.18%"
"Aug 16, 2021","295.10","291.47","295.48","290.95","32.41M","0.82%"
"Aug 17, 2021","298.32","295.13","299.50","290.32","50.52M","1.09%"
"Aug 18, 2021","295.05","299.00","299.95","295.00","35.62M","-1.10%"
"Aug 19, 2021","293.68","293.46","294.72","289.68","56.28M","-0.46%"
"Aug 20, 2021","292.57","293.80","294.90","289.50","38.65M","-0.38%"
"Aug 23, 2021","297.69","294.70","297.94","294.10","38.10M","1.75%"
"Aug 24, 2021","298.70","299.00","301.00","295.95","49.07M","0.34%"
"Aug 25, 2021","296.70","298.70","299.20","294.37","30.92M","-0.67%"
"Aug 26, 2021","294.34","296.00","296.00","293.04","25.01M","-0.80%"
"Aug 27, 2021","299.66","295.80","300.00","294.81","34.15M","1.81%"
"Aug 30, 2021","305.17","301.70","305.50","299.97","69.97M","1.84%"
"Aug 31, 2021","305.65","305.83","307.67","304.10","64.37M","0.16%"
"Sep 01, 2021","312.89","306.60","313.95","306.19","79.52M","2.37%"
"Sep 02, 2021","312.30","313.59","314.80","310.30","53.41M","-0.19%"
"Sep 03, 2021","317.94","312.70","317.96","311.16","63.68M","1.81%"
"Sep 06, 2021","328.93","319.00","329.35","318.60","80.21M","3.46%"
"Sep 07, 2021","327.73","329.93","333.00","325.50","72.18M","-0.36%"
"Sep 08, 2021","327.60","328.49","328.50","322.22","58.86M","-0.04%"
"Sep 09, 2021","324.57","326.00","328.14","323.50","40.57M","-0.92%"
"Sep 10, 2021","326.43","327.00","330.00","325.50","41.49M","0.57%"
"Sep 13, 2021","332.75","328.00","333.00","327.30","55.44M","1.94%"
"Sep 14, 2021","338.98","333.10","339.92","332.36","97.27M","1.87%"
"Sep 15, 2021","343.34","339.39","344.20","337.72","108.87M","1.29%"
"Sep 16, 2021","338.50","342.00","342.99","337.03","94.89M","-1.41%"
"Sep 17, 2021","334.50","338.72","339.29","333.30","61.48M","-1.18%"
"Sep 20, 2021","325.70","329.72","332.00","321.26","73.28M","-2.63%"
"Sep 21, 2021","335.30","328.70","336.78","328.44","77.51M","2.95%"
"Sep 22, 2021","340.59","338.40","341.49","337.40","61.11M","1.58%"
"Sep 23, 2021","343.47","342.00","345.20","339.43","63.89M","0.85%"
"Sep 24, 2021","344.29","343.60","344.90","340.00","40.19M","0.24%"
"Sep 27, 2021","355.19","347.95","355.19","347.00","81.13M","3.17%"
"Sep 28, 2021","354.07","359.00","361.80","353.68","94.13M","-0.32%"
"Sep 29, 2021","360.88","354.05","360.94","352.30","60.26M","1.92%"
"Sep 30, 2021","360.80","363.25","364.53","359.53","70.09M","-0.02%"
"Oct 01, 2021","363.25","358.45","363.78","356.00","47.66M","0.68%"
"Oct 04, 2021","376.06","364.67","378.33","364.30","102.36M","3.53%"
"Oct 05, 2021","389.82","378.02","389.82","378.02","134.61M","3.66%"
"Oct 06, 2021","381.30","395.00","397.64","370.25","216.50M","-2.19%"
"Oct 07, 2021","370.70","382.18","384.30","361.61","160.55M","-2.78%"
"Oct 08, 2021","366.17","371.50","373.00","364.77","70.26M","-1.22%"
"Oct 11, 2021","369.81","369.00","372.61","363.70","78.18M","0.99%"
"Oct 12, 2021","364.10","367.27","368.85","362.25","56.82M","-1.54%"
"Oct 13, 2021","362.77","365.24","365.44","352.71","102.19M","-0.37%"
"Oct 14, 2021","367.00","366.40","369.70","364.35","59.93M","1.17%"
"Oct 15, 2021","367.76","368.40","369.35","366.61","35.91M","0.21%"
"Oct 18, 2021","363.50","365.01","366.45","360.15","43.09M","-1.16%"
"Oct 19, 2021","368.83","364.98","368.83","362.24","51.54M","1.47%"
"Oct 20, 2021","369.97","367.99","370.75","365.50","39.50M","0.31%"
"Oct 21, 2021","363.37","368.00","370.19","360.88","46.50M","-1.78%"
"Oct 22, 2021","358.12","361.40","364.19","357.48","48.43M","-1.44%"
"Oct 25, 2021","364.84","359.99","365.84","356.69","57.34M","1.88%"
"Oct 26, 2021","364.82","365.00","369.33","362.54","51.74M","-0.01%"
"Oct 27, 2021","362.17","363.29","365.49","361.18","30.68M","-0.73%"
"Oct 28, 2021","353.21","360.98","362.02","351.62","86.59M","-2.47%"
"Oct 29, 2021","350.18","351.10","352.60","345.40","75.02M","-0.86%"
"Nov 01, 2021","359.10","350.20","359.30","350.20","46.50M","2.55%"
"Nov 02, 2021","352.48","359.24","360.00","351.24","43.01M","-1.84%"
"Nov 03, 2021","353.02","350.56","353.86","346.62","37.90M","0.15%"
"Nov 05, 2021","350.60","352.00","354.80","349.23","25.73M","-0.69%"
"Nov 08, 2021","351.47","353.00","356.34","348.34","39.81M","0.25%"
"Nov 09, 2021","349.46","351.06","353.61","346.99","31.04M","-0.57%"
"Nov 10, 2021","345.80","349.99","351.25","344.20","35.47M","-1.05%"
"Nov 11, 2021","347.44","346.94","348.43","343.80","40.28M","0.47%"
"Nov 12, 2021","333.60","347.00","347.15","331.00","127.21M","-3.98%"
"Nov 15, 2021","340.30","333.80","341.81","333.67","64.25M","2.01%"
"Nov 16, 2021","336.79","341.48","342.85","331.61","64.67M","-1.03%"
"Nov 17, 2021","349.98","336.00","351.82","334.83","79.03M","3.92%"
"Nov 18, 2021","345.56","350.05","359.32","342.28","102.20M","-1.26%"
